gene_id	dmso	treat	logfc	p.value	fdr	significant	gene_symbol
ENSG00000053900	0.5008567743971496	0.5322264731931549	-0.006939894762174116	0.7251894678975372	0.9244818892986422	non-significant	ANAPC4
ENSG00000101182	0.42914253737163244	0.34490252294049056	-0.269257823808864	0.05243385108903538	0.2927417339356712	non-significant	PSMA7
ENSG00000115207	0.6419675064247465	0.6757648850417729	-0.10821984045488481	0.878260212254259	0.9579904091882946	non-significant	GTF3C2
ENSG00000115274	0.7562471404795229	0.7921054910807037	0.00829921426153928	0.41766508213524695	0.8001994564273424	non-significant	INO80B
ENSG00000115289	1.1400046178504166	1.1380811363571168	-0.04259613936679003	0.97068273147023	0.9971474466791628	non-significant	PCGF1
ENSG00000115524	0.5480140142248111	0.7038818004904606	0.29226794641447745	0.09994092256422603	0.4117326049622817	non-significant	SF3B1
ENSG00000115548	0.8999165684769043	0.9365097733998518	0.12373067013777035	0.2795712091807853	0.6882959755057498	non-significant	KDM3A
ENSG00000115593	0.6954893462174564	0.7264961200733323	0.11361399841791758	0.18240398907394648	0.5694337729973455	non-significant	SMYD1
ENSG00000115844	1.0585894236075948	1.1244279263526158	0.133643380696263	0.27303633975118813	0.6798273236719866	non-significant	DLX2
ENSG00000115966	0.9779323413181022	0.9378469213909342	-0.03651405759473237	0.8751237567976401	0.9579904091882946	non-significant	ATF2
ENSG00000116005	0.9865918398359218	0.9586272315977027	-0.0737819643186402	0.6774991984209291	0.9091168757727844	non-significant	PCYOX1
ENSG00000116017	1.107694240605339	1.1440252318768505	0.040250823031140186	0.290022945069166	0.6913337644090584	non-significant	ARID3A
ENSG00000116035	1.2926498435427887	1.2519361967289995	-0.05935499605701307	0.9614309952314595	0.9958934246245753	non-significant	VAX2
ENSG00000116062	1.1982777340807953	1.2690301265888886	0.0527783288527157	0.25296335682763393	0.659205357834724	non-significant	MSH6
ENSG00000116254	0.7833857669511669	0.9281507717054981	0.2786574622910585	0.02704109414437634	0.20280820608282255	non-significant	CHD5
